true\pred,alternaria_leaf_spot,angular_leaf_spot,anthracnose,bacterial_leaf_spot,bacterial_leaf_streak_(black_chaff),bacterial_wilt,berry_blotch,black_leaf_streak,black_rot,brown_rot,brown_spot,bunchy_top,canker,downy_mildew,early_blight,frog_eye_leaf_spot,gray_leaf_spot,greening_disease,head_scab,late_blight,leaf_curl,leaf_mold,leaf_rust,leaf_spot,loose_smut,mosaic,mosaic_virus,northern_leaf_blight,pepper_blossom_end_rot,pepper_powdery_mildew,powdery_mildew,rust,scab,septoria_blotch,septoria_leaf_spot,sheath_blight,smut,stem_rust,stripe_rust,tar_spot
alternaria_leaf_spot,11,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
angular_leaf_spot,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
anthracnose,0,0,21,0,0,1,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bacterial_leaf_spot,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0
bacterial_leaf_streak_(black_chaff),0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0
bacterial_wilt,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
berry_blotch,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
black_leaf_streak,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
black_rot,1,0,0,0,0,0,1,0,33,0,0,1,0,3,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
brown_rot,0,0,0,0,0,0,2,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
brown_spot,1,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
